name;location;info;description;homepage;linkedin;xing;facebook;twitter;instagram;youtube;Bauingenieurwesen;Elektrotechnik;Erneuerbare Energien & Umwelttechnik;Informatik;Landschaftsarchitektur;Maschinentechnik & Innovation;Raumplanung;Wirtschaftsingenieurwesen;Internship;Trainee;Full-Time;tag_0;tag_1;tag_2;tag_3;tag_4
Arnold AG;Geb 4, 1. OG;Arnold überzeugt Kunden als führender Netzdienstleister mit zuverlässigen und innovativen Lösungen in den Bereichen Energie, Telecom, Verkehr und Wasser in der ganzen Schweiz.;"Veränderungen lassen sich nicht stoppen oder gar aufhalten und der Bedarf an modernen und zuverlässigen Infrastrukturen wächst ungebremst mit. Wir haben uns entschieden: Wir wachsen mit und engagieren uns auch in Zukunft für unsere Infrastrukturen. Wir erarbeiten Lösungen für unsere Kunden und erbringen täglich schweizweit umfassende Gesamtdienstleistungen in den Bereichen Energie, Telecom, Verkehr und Wasser. Bei uns erhalten Mitarbeitende umfangreiche Aus- und Weiterbildungsmöglichkeiten. Durch die Tätigkeit in schweizweit grösseren Projekten haben sie interessante, berufliche Perspektiven sowie ""hochspannende"" und abwechslungsreiche Aufgaben.";www.arnold.ch; https://www.linkedin.com/company/790353/admin;https://www.xing.com/companies/arnoldag-energie&telecom;https://www.facebook.com/Arnold-AG-Energie-Telecom-483029388722273/;;https://www.instagram.com/_arnoldag/;;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Telecom;Verkehr;Wasser;Energie;
Avectris AG;Geb 8, 1. UG;Die Avectris AG ist der IT Full Service Provider für den Schweizer Mittelstand.;Avectris ist ein IT-Dienstleister für Schweizer Mittelstandsunternehmen primär in den Branchen Versorger, Gesundheit, Finanzdienstleistung und Industrie. Als Partner auf Augenhöhe bieten wir unseren Kunden ganzheitliche IT-Services aus einer Hand. Der Fokus liegt dabei auf Hybride Cloud-Lösungen, Outsourcing, SAP S/4HANA, Collaboration, ITSM sowie IT-Consulting mit Schwerpunkt IT-Risk. Avectris hat ihren Hauptsitz in Baden und beschäftigt rund 280 Mitarbeitende. ;www.avectris.ch;https://ch.linkedin.com/company/avectris-ag;https://www.xing.com/company/avectris;;https://twitter.com/AVECTRIS_IT;;;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;Consulting;Infrastruktur;ERP;SAP;
Axpo Services AG;Geb 5, Foyer;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Bartholet Maschinenbau AG;Geb 4, Aula;Bartholet mit Hauptsitz in Flums, Schweiz, ist eine international führende Unternehmung in den Bereichen Seilbahn- und Vergnügungsparkanlagen, Maschinenbau als auch in der Metall- und Blechverarbeitung.;"Die Bartholet Maschinenbau AG mit Hauptsitz in Flums, Schweiz, ist ein weltweit tätiger Seilbahnhersteller und gilt in der Branche als Innovationstreiber. Das Unternehmen mit rund 350 Mitarbeitenden plant und baut seit über 55 Jahren Seilbahnsysteme. Bartholet verfügt über breit aufgestellte Spezialisten und kann so die komplette Entstehung einer Anlage anbieten. Beim Entwickeln speziell für den Kunden gefertigter Lösungen stehen Schweizer Qualität, Design und Innovation im Vordergrund. 

Um die erfolgreiche Vorwärtsstrategie aktiv weiter zu verfolgen, sind wir ständig auf der Suche nach kompetenten, engagierten, motivierten und flexiblen Mitarbeitenden.

Wir freuen uns auf Ihren Besuch!";http://www.bartholet.swiss/ ;;;https://www.facebook.com/BartholetMaschinenbauAG ;;https://www.instagram.com/bartholet.swiss/?hl=de   ;https://www.youtube.com/user/bmfagflums;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;Seilbahn;;;;
Basler & Hofmann AG;Geb 1, Foyer;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
BAUMANN Federn AG;Geb 1, Foyer;Wir bieten eine hohe Breite an Berufsprofilen: Techniker, Ingenieure, Betriebswirte, Projektleiter, Maschinenbauer und viele weitere Expertinnen und Experten. ;"Seit mehr als 125 Jahren steht die BAUMANN Gruppe für Schweizer Präzision und Qualität. Heute ist BAUMANN ein global aufgestelltes junges, dynamisches und innovatives Unternehmen mit einer langfristig ausgelegten Strategie und Vision. Auf drei Kontinenten und an elf Standorten ist BAUMANN erfolgreich präsent. 1‘500 Mitarbeitende entwickeln, produzieren und vertreiben technische Federn, Stanz- und Biegeteile für ausgewählte Branchen wie die Automobil- und Elektroindustrie sowie die Medizinaltechnik. 
Der Stammfirmensitz, an dem über 500 Mitarbeitende beschäftigt sind, liegt in der Schweiz, in Rüti (Werkplatz in Ermenswil SG), südlich von Zürich.";https://www.baumann-springs.com/de/karriere/, ;https://www.linkedin.com/company/baumann-group/about/ ;;;;;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;Projectmanagement;MedTech;;;
bbv Software Services AG;Geb 1, 1. OG;bbv Software Services ist ein Schweizer Software- und Beratungsunternehmen, das Kunden bei der Realisierung ihrer Visionen und Projekte unterstützt. ;"Wir entwickeln individuelle Softwarelösungen und begleiten Kunden mit fundierter Beratung, erstklassigem Software Engineering und langjähriger Branchenerfahrung auf dem Weg zur erfolgreichen Lösung. Für Studienabgängern/innen bieten wir ein besonderes ""Young Professionals Programme"" als Junior Software-Ingenieur/in an. In einem optimalen Umfeld durchlaufen unsere Young Professionals während rund zwei Jahren sowohl ON- als auch OFF-THE-JOB spannende Herausforderungen und gezielte Weiterbildung. Unsere Young Professionals implementieren innerhalb des Projektteams anspruchsvolle und innovative Lösungen nach agiler Vorgehensweise. Sie entwickeln massgeschneiderte Softwarelösungen und unterstützen dadurch den Kunden vor Ort, von der Vision bis zum Roll-out.";https://www.bbv.ch/de/;;;;https://twitter.com/bbvch?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor;;;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Full-Stack;IoT;Embedded;.NET;
Belimo;Geb 4, Aula;Together to the Top;Belimo ist ein innovatives und börsenkotiertes Schweizer Clean-Tech Unternehmen mit weltweit über 1700 Mitarbeitenden und zahlreichen ausländischen Tochter- und Vertriebsgesellschaften. Als Weltmarktführer bei der Entwicklung, der Herstellung und dem Vertrieb von Antriebslösungen zur Regelung und Steuerung von Heizungs-, Lüftungs- und Klimaanlagen unterstützen wir unsere Kunden mit innovativen energieoptimierenden Lösungen.;www.belimo.com ;www.linkedin.com/company/belimo/;www.xing.com/companies/belimoautomationag; www.facebook.com/belimo;www.twitter.com/belimo ;www.instagram.com/belimo;;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;Embedded;Sensoren;IoT;;
bexio ag;Geb 8, 1. UG;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
bfa solutions ltd;Geb 8, 1. UG;Wir sind der Partner für Industrie 4.0! Mit dem Ziel unsere Kunden auf dem Weg in die digitale Zukunft kompetent zu unterstützen.;In über 35 Jahren haben wir uns eine breite Basis an Erfahrungen und Kompetenzen im Bereich der industriellen Automation und MES (Manufacturing Execution System) aufgebaut. Unsere Kunden profitieren dadurch von geballtem, praxiserprobten Know-how. Die Themenbereiche erstrecken sich von Projekt Management, Analyse und Design bis zur Wartung und Pflege von Systemen. Als erfahrener Partner begleiten wir unsere Kunden die Maschinen und Anlagen der Zukunft intelligenter und effizienter zu machen;www.bfa.ch;;;;;;;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;Industrie 4.0;Automation;Kunstoffspritzguss;Digitalisierung;
Bioengineering AG;Geb 4, 1. OG;Die 1972 gegründete Bioengineering AG ist ein Anbieter von Bioreaktor- und Fermenterlösungen mit Sitz in Wald, Zürich.;"Bioengineering hat für einige der weltweit renommiertesten Unternehmen der Pharma- und Lebensmittelindustrie eine komplette Palette von Forschungsarbeiten bis hin zu Produktionsanlagen konzipiert, hergestellt und installiert. Vom Tischfermenter bis zur weltweit größten validierten Bioproduktionsanlage ab 2017 werden in Bioengineering-Anlagen Produkte mit komplexen und anspruchsvollen Prozessen wie Impfstoffen, monoklonalen Antikörpern (MAbs), Biosimilars, Starterkulturen und anderen hergestellt. Mit 5 Tochtergesellschaften und Kunden auf der ganzen Welt ist Bioengineering ein internationales Unternehmen im wahrsten Sinne des Wortes.
Bioengineering widmet sich der Entwicklung, Konstruktion, Herstellung, Automatisierung und Qualifizierung von Tisch-, Pilot- und Produktionsanlagen und -ausrüstungen von der Forschung und Entwicklung bis zum Produktionsmaßstab. In über 45 Jahren ist Bioengineering ein Lieferant für die Biotechnologie-, Pharma-, Feinchemie-, Lebensmittel- und Kosmetikindustrie für sterile und hygienische Anwendungen und Umgebungen.
Unser Produktprogramm umfasst Zubehör (Ventile, Sterilkupplungen etc.) Einzelgeräte, kompakte Verpackungen oder komplette Produktionsanlagen für die mikrobielle Fermentation oder tierische Zellkultivierung einschließlich CIP und periphere Zubehörteile und Hilfsmittel.";www.bioengineering.ch;https://www.linkedin.com/company/bioengineering;;;;;;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;Pharma;Automatiker;Biotech;;
Borm-Informatik AG;Geb 1, 1. OG;Die Borm Firmengruppe ist in der Schweiz der führende Softwareanbieter von ERP und CAD-Lösungen für Holz-verarbeitende Betriebe.;Die Borm Firmengruppe ist in der Schweiz der führende Anbieter von Branchensoftware für Holz-verarbeitende Betriebe. Wir entwickeln sowohl die Desktop-ERP-Systeme BormBusiness, EvoBusiness und Evo als auch das CAD-System PointLineCAD für die Planung und Optimierung von Betriebsabläufen. Die Webanwendung BormLive und unsere Android App erlauben es, von jedem Browser aus auf das ERP-System zugreifen zu können. Ob im Bereich Computer Graphics, Datenbankapplikation, Single-Page-Webapplication oder Android App: in unserem starken Entwicklungsteam von 18 Personen und dem Projektleiterteam von rund 30 Personen gibt es spannende Möglichkeiten sich einzubringen und gemeinsam weiterzukommen. Wir freuen uns auf spannende und interessante Gespräche.;www.borm.ch;;;;;https://www.instagram.com/borminformatik/;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Full-Stack;Graphics;ERP;;
Bosch Packaging Systems AG;Geb 5, Foyer;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Bosch Rexroth Schweiz AG;Geb 5, Foyer;WE MOVE. YOU WIN.;Unsere Antriebs- und Steuerungstechnologien bewegen Maschinen und Projekte jeder Größenordnung rund um die Welt. Wir begeistern unsere Kunden mit intelligenten Komponenten, maßgeschneiderten Systemlösungen und Dienstleistungen für vollständig vernetzbare Anwendungen bis hin zur Fabrik der Zukunft.;www.boschrexroth.com/ch/;linkedin.com/company/bosch-rexroth;www.xing.com/companies/boschrexrothag;www.facebook.com/boschrexroth.dach/;twitter.com/rexrothdach;www.instagram.com/boschrexroth_dach;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;Automation;Hydraulik;Vertrieb;;
Brühwiler AG;Geb 1, 2. OG;Brühwiler AG Bauingenieure und Planer –  ist seit über 40 Jahren Ihr Ostschweizer Erfolgspartner in allen Bereichen des Bauingenieurwesens. ;"Unsere Firma:
Die Brühwiler AG Bauingenieure und Planer (http://br-ing.ch/) ist ein Familienunternehmen in zweiter Generation. Es ist ein in der Region unabhängiges, gut aufgestelltes und fest verankertes Ingenieur-, Planungs- und Beratungsunternehmen mit Sitz in Wil, Gossau, Winterthur, St. Gallen, Romanshorn und Niederhelfenschwil. Gegründet im Jahr 1974 sind heute rund 30 motivierte Mitarbeitende tätig. 

Unsere Mitarbeitenden:
Die Weiterbildung der Mitarbeitenden ist uns wichtig. Auch die Ausbildung des Berufsnachwuchses liegt uns am Herzen. In der Regel bilden wir drei bis vier Lernende aus. Zudem bieten wir in unserem Work-Life-Balance-Programm (http://br-ing.ch/work-life-balance/) diverse Angebote an.

Unsere Fachkompetenzen:
Neben dem Ingenieurhochbau und dem allgemeinen Tiefbau dürfen wir für unsere Privatkundschaft und unsere Kunden der öffentlichen Verwaltung anspruchsvolle Projekte im Bahnbau, Lärmschutz und Gewässerbau umsetzen. Mit uns als Generalplanerin erhalten unsere Kunden alle Planerleistungen aus einer Hand. Dank der langjährigen Erfahrung stellen wir unserem Auftraggeber eingespielte Planerteams für Strassenraumgestaltung, Industriebauten und zur Umsetzung vieler weiterer komplexer Projekte zur Seite. Zu unseren Spezialitäten gehören zudem Umbauten, Expertisen, Gutachten, Altlastensanierungen, Bauherrenberatungen und das Gemeindeingenieurwesen. Für Anliegen im Bereich Lärmschutz sind wir mit der Conterlaerm GmbH fachkompetenter Partner. 

Unser Partner:
Mit der Josef Kolb AG (https://www.kolbag.ch/josef-kolb-ag/), Romanshorn, als weitere Holding- und Partnerfirma mit rund 25 Mitarbeitenden, welche seit 1998 erfolgreich im Ingenieurholzbau und Brandschutz tätig ist, setzen wir interdisziplinäre Projekte im Holz- und Massivbau um.";"www.br-ing.ch
 ";;;;;;;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Hochbau;Tiefbau;Verkehr;Strassenbau;Wasserbau
BSI;Geb 8, 1. UG;Hersteller komplexer Geschäftsapplikationen darunter CRM, CTMS, Kassen und Kundendienst sowie Individualsoftware. Basierend auf modernsten Technologien wie Java, JavaScript, HTML5.;"Liebe Studierende
Wir suchen gute Software-Entwickler (v.a. Java, HTML5). Erfahrung ist nicht nötig, aber Spass an der Arbeit und Lust auf Informatik. Die Arbeit umfasst Konzeption, Entwicklung und Integration: Du begleitest ein Softwareprojekt vom Anfang bis zum Ende. BSI hat etwa 320 Mitarbeitende, die Arbeitszeiten sind flexibel, die Stimmung bei uns sehr gut. BSI gehört uns Mitarbeitenden, wir kennen keine Hierarchien und kaum Reglemente. Wir lieben Software und programmieren gerne, entwickeln eigene Produkte und Individualsoftware. Handwerkliche Qualität, Ehrlichkeit und grosse Kundennähe, das ist BSI. Wenn dich diese Beschreibung anspricht und du Lust hast, erste Berufserfahrungen bei uns zu machen, melde dich bitte bei uns am Stand. Zurzeit sind bei uns Stellen an unseren Standorten in Baar, Baden, Bern, Darmstadt, Düsseldorf, Hamburg, München und Zürich offen. BSI freut sich darauf, sich bei dir zu bewerben.
Mehr über BSI kannst du hier erfahren: https://www.bsi-software.com/kollegen";https://www.bsi-software.com;https://www.linkedin.com/company/bsi-ag;https://www.xing.com/companies/bsibusinesssystemsintegrationag;https://www.facebook.com/bsiagcom;;;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Full-Stack;;;;
Buchmann Partner AG;Geb 1, 2. OG;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Bühler AG;Geb 4, 1. OG;Verändere die Welt und sei Teil eines grossen Ganzen. Bei Bühler entwickeln wir innovative Lösungen für eine bessere Welt mit einem Fokus auf Nachhaltigkeit, Gesundheit, Sicherheit und Energieeffizienz;"Bei Bühler wollen wir mit sicheren Nahrungsmitteln und energieeffizienten Produkten unseren Teil zu einer nachhaltigen Welt beitragen.
Wir sind in über 140 Ländern tätig und halten weltweit führende Marktposition in der Beschaffung von Industrieanlagen zur Verarbeitung von Mehl und Futtermittel, der Herstellung von Pasta und Schokolade sowie der Fertigung von Druckguss Aluminium Bauteilen.
Um dies verwirklichen zu können, braucht Bühler die besten Mitarbeitenden. Daher suchen wir motivierte Hochschulabsolventen/innen, die sich damit identifizieren und mit grosser Leidenschaft in die Bühler Welt eintauchen möchte.
Starte deine internationale Karriere bei uns!
";www.buhlergroup.com;www.linkedin.com/buhler/;;;www.twitter.com/buhler;;;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;Sustainability;Projectmanagement;;;
Bundesverwaltung;Geb 1, 1. OG;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
CADFEM (Suisse) AG;Geb 4, 1. OG;CADFEM ist ein Ingenieurunternehmen auf dem Gebiet der numerischen Simulation.;"CADFEM zählt zu den Pionieren der Anwendung numerischer Simulation in der Produktentwicklung und ist einer der grössten Anbieter 
für Simulationslösungen in Deutschland, Österreich und der Schweiz. CADFEM bietet Software und IT-Lösungen, Beratung, Support, 
Engineering, Know-how-Transfer.
";www.cadfem.ch;www.linkedin.com/company/cadfem-suisse-ag;;www.facebook.com/cadfem;www.twitter.com/cadfem_de;;;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;Simulation;Berechnung;Finite Elemente;CADFEM;ANSYS
CEDES AG;Geb 4, Aula;The Sensor Pioneers ;CEDES ist seit über 30 Jahren führend in der Entwicklung, Herstellung und dem Vertrieb von optosensorischen Qualitätsprodukten. Innovation, unkonventionelle Lösungen und Freude an der Arbeit machen unseren Erfolg aus. In unseren Bereichen Aufzüge, Türen und Tore sind wir weiter auf Wachstumskurs und bieten erfahrenen Profis und hungrigen Jungtalenten die Chance, mit uns zu wachsen. ;www.cedes.com;https://www.linkedin.com/company/6509339;;;;;;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;Sensoren;High tech;International;;
CEKAtec AG;Geb 4, Aula;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
